species,gene,source,protein_accession,best_query,chromosome
Acomys_cahirinus,RORC,miniprot,,Arvicanthis_niloticus__RORC__XP_076788964.1,JAULSH010000007.1
Aepyceros_melampus,RORC,miniprot,,Bos_taurus__RORC__NP_001076920.1,SJXQ01012821.1
Aotus_nancymaae,RORC,refseq,XP_064226911.1,,
Arvicanthis_niloticus,RORC,refseq,XP_076788964.1,,
Bos_taurus,RORC,refseq,NP_001076920.1,,
Callithrix_jacchus,RORC,refseq,XP_054103956.2,,
Camelus_bactrianus,RORC,refseq,XP_074205529.1,,
Caracal_caracal,RORC,miniprot,,Puma_concolor__RORC__XP_025784188.1,JACGTZ010000266.1
Cebus_imitator,RORC,refseq,XP_017401708.1,,
Choloepus_hoffmanni,RORC,miniprot,,Dasypus_novemcinctus__RORC__XP_004451816.1,KN195865.1
Cynocephalus_volans,RORC,refseq,XP_062960053.1,,
Cynomys_ludovicianus,RORC,miniprot,,Ictidomys_tridecemlineatus__RORC__XP_005331294.2,JACVBZ010000217.1
Dasypus_novemcinctus,RORC,refseq,XP_004451816.1,,
Daubentonia_madagascariensis,RORC,miniprot,,Gorilla_gorilla_gorilla__RORC__XP_018878258.3,JBFSEQ010000007.1
Eira_barbara,RORC,miniprot,,Puma_concolor__RORC__XP_025784188.1,JAHRIH010000084.1
Equus_caballus,RORC,refseq,XP_001916080.2,,
Giraffa_tippelskirchi,RORC,miniprot,,Bos_taurus__RORC__NP_001076920.1,CM136055.1
Gorilla_gorilla_gorilla,RORC,refseq,XP_018878258.3,,
Homo_sapiens,RORC,refseq,NP_005051.2,,
Hyaena_hyaena,RORC,refseq,XP_039102164.1,,
Hylobates_pileatus,RORC,miniprot,,Gorilla_gorilla_gorilla__RORC__XP_018878258.3,CM038520.1
Ictidomys_tridecemlineatus,RORC,refseq,XP_005331294.2,,
Jaculus_jaculus,RORC,refseq,XP_044994524.1,,
Lagorchestes_hirsutus,RORC,miniprot,,Sarcophilus_harrisii__RORC__XP_012405135.2,CM052671.1
Leopardus_geoffroyi,RORC,refseq,XP_045335200.1,,
Macrotis_lagotis,RORC,refseq,XP_074044960.1,,
Martes_flavigula,RORC,miniprot,,Puma_concolor__RORC__XP_025784188.1,CM081907.1
Microcebus_murinus,RORC,refseq,XP_075856246.1,,
Mirza_zaza,RORC,miniprot,,Microcebus_murinus__RORC__XP_075856246.1,CAUYML010009641.1
Myrmecobius_fasciatus,RORC,miniprot,,Sarcophilus_harrisii__RORC__XP_012405135.2,JAJPUD010020184.1
Nanger_dama,RORC,miniprot,,Bos_taurus__RORC__NP_001076920.1,CAKJTW010000112.1
Nasua_narica,RORC,miniprot,,Rhynchocyon_petersi__RORC__KAM6217158.1,CM052798.1
Nycticebus_coucang,RORC,refseq,XP_053447535.1,,
Ochotona_princeps,RORC,refseq,XP_058516264.1,,
Octodon_degus,RORC,refseq,XP_004632391.1,,
Orycteropus_afer,RORC,refseq,XP_007949051.2,,
Paguma_larvata,RORC,miniprot,,Puma_concolor__RORC__XP_025784188.1,CM057833.1
Pan_troglodytes,RORC,refseq,XP_003308437.1,,
Panthera_pardus,RORC,refseq,XP_019288479.1,,
Peromyscus_eremicus,RORC,refseq,XP_059122570.1,,
Phacochoerus_africanus,RORC,refseq,XP_047640600.1,,
Phalanger_gymnotis,RORC,miniprot,,Sarcophilus_harrisii__RORC__XP_012405135.2,CM053627.1
Pipistrellus_pipistrellus,RORC,miniprot,,Equus_caballus__RORC__XP_001916080.2,CBDBGO020000019.1
Plecturocebus_cupreus,RORC,miniprot,,Gorilla_gorilla_gorilla__RORC__XP_018878258.3,CM080836.1
Pseudocheirus_occidentalis,RORC,miniprot,,Macrotis_lagotis__RORC__XP_074044960.1,CM053593.1
Puma_concolor,RORC,refseq,XP_025784188.1,,
Rattus_norvegicus,RORC,refseq,NP_001414201.1,,
Rhynchocyon_petersi,RORC,refseq,KAM6217158.1,,
Saccopteryx_bilineata,RORC,refseq,XP_066118209.1,,
Sarcophilus_harrisii,RORC,refseq,XP_012405135.2,,
Sciurus_vulgaris,RORC,refseq,XP_078994882.1,,
Speothos_venaticus,RORC,miniprot,,Panthera_pardus__RORC__XP_019288479.1,BLYH01033735.1
Suricata_suricatta,RORC,refseq,XP_029804666.1,,
Sylvilagus_floridanus,RORC,miniprot,,Ochotona_princeps__RORC__XP_058516264.1,OX463225.1
Tapirus_terrestris,RORC,miniprot,,Rhynchocyon_petersi__RORC__KAM6217158.1,CM142111.1
Tragelaphus_eurycerus,RORC,miniprot,,Bos_taurus__RORC__NP_001076920.1,CM080730.1
Uromys_caudimaculatus,RORC,miniprot,,Arvicanthis_niloticus__RORC__XP_076788964.1,CM052704.1
Vicugna_pacos,RORC,refseq,XP_072802660.1,,
Xerus_rutilus,RORC,miniprot,,Sciurus_vulgaris__RORC__XP_078994882.1,CM053400.1
